"";"X.dep_18";"X.dep_22";"X.dep_36";"X.dep_48";"X.dep_75"
"soviétique";-0,1849;-1,2477;-0,5378;0,9554;0,8554
"sympathisant";0,2743;0,3234;0,4484;-0,0884;-0,4699
"inégalité";-2,1407;1,0657;-0,4135;-0,5466;0,5357
"campagne";8,7658;3,9429;4,1165;1,3128;-16,0739
"phone";-0,3502;0,6393;1,1161;-0,0939;-0,7203
"nilotinib";-0,6179;-1,3455;46,991;-0,1657;-22,0401
"météorologique";1,6973;1,3946;-0,3238;0,8559;-2,6285
"attac";0,391;-0,4934;-0,1315;2,0892;-0,4811
"dépêcher";1,2574;0,245;-0,2271;-0,1049;-0,5788
"savoie";1,3173;0,2684;-0,2151;-0,0994;-0,6455
"solidaire";0,4615;0,5243;-0,408;-1,0236;-0,3279
"volontarisme";-1,1947;-0,3093;0,3285;-0,3204;0,8588
"zombie";-0,4531;-0,9867;-0,2629;-0,1215;1,9454
"exemple";-1,1172;0,3266;-0,6652;1,2473;0,5512
"invalidant";0,3412;1,0045;0,647;0,465;-1,5272
"assorti";-0,2227;-0,8427;0,7447;-0,6076;0,5971
"comcom";0,7333;-0,7625;-0,2032;7,3494;-2,1825
"ciblant";-0,6738;0,5839;-0,741;-0,3425;0,5659
"artifice";0,4677;0,9781;3,2208;-0,1436;-2,9535
"inventorier";-0,2472;-0,5382;-0,1434;-0,0663;1,0611
"question";-3,3277;0,8709;-1,5083;-1,4943;1,8871
"long";-0,5269;-0,4347;-1,2923;-1,1847;1,3688
"caisse";-1,3543;0,5313;0,6272;-0,7165;0,4681
"généralisable";-0,2472;0,4784;0,5509;-0,0663;-0,4142
"digue";0,5953;-0,4254;-0,251;-0,116;0,355
"culturellement";0,2411;1,3372;-0,32;-0,3535;-0,7242
"dérogatoires";-0,3959;-1,1744;-0,1715;-0,2375;1,5038
"ennuyeux";-0,206;0,1911;-0,1195;0,9229;-0,2406
"présentation";-0,4018;-1,7963;-2,475;-1,0389;3,5181
"lr";-0,2038;-0,3254;0,2698;3,3875;-0,8906
"polariser";0,2569;-0,7625;0,4276;-0,0939;0,4323
"pres";0,9567;0,3403;0,3545;2,2831;-1,7554
"travailleur";2,5977;0,3404;0,4391;0,3853;-1,5697
"tocqueville";-0,5561;0,2992;0,2804;-0,1491;0,3692
"5ans";-0,3024;-0,5221;0,5923;-0,1988;0,4861
"peace";0,3371;-0,2003;-0,1554;-0,0718;0,2512
"sapeur_pompier";0,391;-0,4934;1,463;-0,0608;-0,4811
"recouvrement";-1,549;-0,6698;-0,5116;-0,3085;1,8327
"nice";-0,9887;0,2891;0,4252;-0,2651;0,4953
"dalo";-0,4531;-0,4561;-0,2629;-0,1215;1,1696
"interroger";-0,6291;0,5809;0,2962;-1,0528;0,3962
"pâturage";-0,2884;0,8183;0,4952;-0,0773;-0,6042
"corporatismes";-0,2643;-0,8182;-0,3944;-0,1823;1,3694
"solvables";-0,3708;-0,8073;0,4082;-0,0994;0,8871
"pénible";-0,291;-1,5861;0,2976;0,3272;1,1066
"gang";-0,4943;-0,5188;-0,2868;0,58;0,8106
"préalablement";-0,4043;-0,882;-0,5484;-0,3133;1,3706
"xxie";0,3896;-0,3718;0,2503;-0,1657;0,2879
"anomalie";0,3541;0,6257;-0,4054;0,7479;-0,678
"auprès_desquels";-0,206;0,5907;1,5424;-0,0552;-1,0234
"adosser";-0,6797;-0,445;-0,3944;-0,1823;1,3694
"confirmation";-0,8651;-0,2189;-0,502;-0,232;1,0348
"théâtre";-0,3216;-2,3337;-1,4939;-0,2755;3,0727
"pionnier";-0,9102;1,77;-0,4222;0,2045;-0,6146
"naitre";-0,5561;0,9238;0,2804;0,5366;-0,6625
"instructeur";2,0302;1,174;-0,1195;0,9229;-3,2917
"confessionnel";1,5245;-0,9521;-0,2252;-0,2817;0,2754
"célébrer";-0,2275;-0,7157;-0,3585;-0,1657;1,1763
"difficultes";0,2263;0,546;-0,2271;-0,1049;-0,324
"réapprendre";2,2348;0,7335;1,209;0,8718;-3,3442
"idéologie";-0,3789;0,4161;-1,2062;-0,7969;0,7195
"discriminées";-0,4098;0,585;0,9324;-0,243;-0,5466
"précaire";-0,3748;2,2378;0,4147;0,2715;-1,6219
"hatvp";-0,4737;-1,0316;-0,2749;-0,127;2,0338
"ètre";2,9326;-0,4934;-0,1315;-0,0608;-0,8929
"xxiè";-0,2678;-0,5831;0,5218;-0,0718;0,5545
"ultralibérale";-0,2472;-0,5382;-0,1434;-0,0663;1,0611
"échanger";-1,4989;1,2034;-0,4743;-1,0914;0,4525
"chômages";-0,66;-0,5682;-0,3268;0,2762;0,912
"signalement";-0,4581;-1,1973;-0,9555;-1,044;2,3672
"chose";1,8718;2,736;1,5673;2,59;-6,7385
"convaincu";0,391;-0,1516;-0,1315;-0,0608;0,1741
"mille_feuille";-0,8503;-0,3388;-0,6832;-0,5285;1,1299
"serviable";0,2128;0,5054;-0,239;-0,1105;-0,2863
"eglise";-0,545;-0,2547;-0,336;-0,5745;0,7491
"éruption";-0,2266;0,5307;1,463;-0,0608;-0,8929
"apparat";1,6965;3,7201;0,8921;-0,127;-5,9861
"habitant";1,451;3,4841;1,7531;2,132;-7,1543
"harmonisation";-0,7307;-0,4379;-1,0504;-1,3951;1,647
"joyeux";-0,5561;-0,3029;0,7799;-0,1491;0,3692
"paternité";-0,482;-0,8451;-0,3;-0,5413;1,4196
"olivier";-0,8033;-1,7492;-0,4661;0,4078;2,4571
"lrem";-1,6549;0,3888;-1,4461;0,7039;0,8898
"7ème";-0,2884;-0,6279;-0,1673;0,7875;0,6187
"app";-0,5149;-1,1213;-0,2988;-0,1381;2,2107
"improbable";-0,2038;-0,3254;-0,3346;-0,1547;0,6676
"api";-0,2884;-0,226;0,4952;-0,0773;0,2934
"apl";0,7208;-0,4289;0,7293;-0,3624;-0,5068
"fléchage";-0,2254;0,5738;-1,0756;-0,1643;0,2985
"fiancer";1,6965;-0,4872;-0,2749;-0,127;-0,375
"prépondérance";-0,206;-0,4485;-0,1195;-0,0552;0,8843
"apd";-0,3708;-0,8073;-0,2151;-0,0994;1,5917
"ape";-0,2884;-0,6279;-0,1673;-0,0773;1,238
"from";-0,7415;-1,6146;1,1332;-0,1988;1,0918
"étalement";-1,2033;-1,5401;-1,4264;-1,3478;4,1533
"territorialité";1,7138;-0,4703;0,628;-0,1878;-0,7952
"fongicides";-0,1375;0,7858;-0,2629;0,6125;-0,685
"alsace";-0,7408;6,0707;1,388;0,4136;-4,9829
"littérature";-0,2201;-1,3962;-0,5856;-0,2707;1,8793
"verite";0,5665;0,4339;-0,2629;-0,1215;-0,418
"reconditionner";-0,5973;-1,3007;-0,3466;-0,1602;2,5644
"renouer";-0,5432;-0,3287;-0,2268;1,6048;-0,3218
"fonciere";0,7648;0,4408;-0,3705;-0,1712;-0,4662
"lycée";-0,5005;-0,4303;-0,4757;-0,4485;0,7534
"communalités";-0,2768;0,6246;1,881;-0,1878;-1,0896
"exécrable";-0,3296;-0,2797;-0,1912;-0,0884;0,7508
"représentativité";-0,4797;-1,7093;-0,4394;0,4549;1,5564
"trotinette";-0,5767;-1,2558;0,2698;-0,1547;1,6113
"stater";0,2932;-0,6728;-0,1793;-0,0829;0,6842
"interventionniste";-0,3296;-0,7176;0,4484;0,7349;0,3841
"inaccessible";-0,2821;2,0698;1,1216;0,8228;-2,6408
"renommer";-0,148;-0,4872;1,627;-0,127;-0,375
"immobiliere";-0,2678;-0,2003;-0,1554;-0,0718;0,5545
"paradoxalement";-0,2056;0,3137;0,3752;0,5214;-0,4774
"serviteur";-0,7984;0,2698;0,2443;0,2295;0,464
"grammaire";0,6262;-0,897;-0,239;-0,1105;0,5865
"justifiable";-0,4943;-0,5188;-0,2868;-0,1326;1,3147
"touffu";-0,2678;-0,5831;-0,1554;0,817;0,5545
"accélérateur";0,2743;0,3234;-0,1912;-0,0884;-0,2313
"restructurer";-0,7512;-0,46;0,2628;-0,3701;0,9621
"approfondir";-1,5655;-1,8019;-0,3856;-0,8341;3,6398
"dérogation";-1,5952;0,6116;0,2915;-0,4064;0,5152
"décarbonnée";-0,5561;-0,3029;-0,3227;-0,1491;0,9896
"ambition";-1,1512;0,7384;-1,0813;-0,3646;0,6562
"enviable";-0,2472;0,4784;-0,1434;-0,0663;0,2114
"out";-1,9558;-0,9199;-0,5626;0,2825;2,2565
"dassault";0,3371;0,4325;-0,1554;-0,0718;-0,3573
"sentiment";-3,5912;-1,5743;-1,8696;-0,5593;5,5136
"chaos";-0,5321;1,1095;-0,1907;0,2012;-0,5838
"specialistes";-0,309;0,3557;0,4708;-0,0829;-0,2672
"honorable";1,2015;1,3954;0,3734;-0,1105;-2,2424
"adoucir";0,3141;0,3918;-0,1673;-0,0773;-0,3088
"fonctionnements";1,0884;1,0134;0,7491;1,0782;-2,6571
"réintroduire";-1,5375;-0,7139;-1,6885;-1,508;3,2626
"cri";0,4627;-0,9386;-0,32;0,2542;0,6289
"aléa";0,3706;-0,9041;0,4341;-0,2356;0,5329
"quotats";0,3141;0,8183;1,2676;0,7875;-2,1358
"fécondité";-0,5355;-0,5831;0,2915;-0,1436;0,9291
"permettre";-1,3421;-2,7802;-2,1973;-2,151;6,4088
"réserviste";0,8262;-0,6821;0,2598;-0,1602;0,2594
"kafka";-0,5767;-0,6488;-0,3346;-0,1547;1,6113
"polémiste";1,1227;-0,4485;-0,1195;-0,0552;-0,2406
"priorite";-0,7984;-0,3347;1,3794;-0,3866;0,3331
"startup";-0,6179;0,2402;-0,3585;-0,1657;0,7679
"bâteaux";-0,2678;0,4325;0,5218;-0,0718;-0,3573
"créatif";0,7403;-1,1894;-0,3118;-0,1944;0,6399
"résider";-0,4476;-0,3527;0,3031;0,2577;0,4361
"inatteignable";-0,3296;-0,2797;0,4484;-0,0884;0,3841
"150k";-0,206;0,5907;-0,1195;-0,0552;-0,2406
"succomber";-0,4119;-0,3951;-0,239;0,6486;0,5865
"clip";-0,3686;-1,1016;-0,1588;0,3911;0,9838
"recyclable";1,7524;0,501;0,5493;-0,7904;-1,2117
"clic";-1,0917;-0,4027;-0,6334;-0,2927;1,6395
"clim";-0,349;-0,5849;-0,741;-0,3425;1,3379
"priorité";-4,5873;-0,9364;-0,6901;0,9777;2,9432
"aérothermie";-0,206;6,492;0,6188;0,9229;-7,3467
"robotique";-0,4737;0,4025;-0,2749;-0,127;0,4373
"perturbation";0,6182;0,3859;0,2327;1,8766;-1,2197
"hp";-0,1375;-0,1994;-0,2629;-0,1215;0,3954
"echanges";1,1477;-0,6066;-0,3124;0,2587;-0,3011
"medicaments";-0,2519;-0,7838;0,2325;0,4758;0,5645
"améliorer";-2,6995;-6,3163;-3,4807;-0,7927;12,087
"eolien";1,4683;0,3984;2,1834;-0,1385;-2,3254
"collaboration";-1,2816;-0,476;0,6112;-0,2157;0,7557
"who";-0,3154;-1,6595;-0,4422;-0,2044;2,3007
"21ème";-0,2051;-1,022;-0,8007;-0,3701;1,5906
"universalisme";-0,4943;0,3735;-0,2868;-0,1326;0,4807
"ht";-0,8033;-0,3379;-0,4661;0,4078;0,8843
"why";-0,6591;-1,4352;-0,3824;-0,1768;2,8297
"lutte";-5,1497;-5,1213;-1,3861;-0,7972;11,0665
"défense";-0,292;-0,6352;-2,8593;-2,4468;2,2963
"réalisation";1,8362;-0,9638;-2,2335;-0,318;0,6384
"pipi";0,241;0,5905;-0,2151;-0,0994;-0,3666
"règlera";-0,309;1,9295;-0,1793;-0,0829;-0,8995
"grossesse";-0,9269;-0,7724;-0,5378;0,3607;1,6269
"imagination";0,3927;-0,6806;0,3536;-0,4971;0,5335
"fission";-0,3708;0,2684;-0,2151;-0,0994;0,4822
"mesurettes";-1,0917;2,3385;-0,2392;0,8397;-1,2838
"pléthorique";-0,6487;-0,9581;-1,2137;0,4646;1,6729
"escroc";0,5509;-0,3093;-0,2752;2,2012;-0,7722
"disparu";0,9998;0,8668;-0,8246;1,9393;-1,6639
"dédaigner";1,1227;0,1911;0,6188;-0,0552;-1,0234
"local";-2,3425;9,8141;-4,2094;4,6196;-3,0944
"cuba";-0,4119;0,2237;-0,239;-0,1105;0,5865
"massacre";0,4005;0,2826;0,9279;-0,3811;-0,5502
"secours";0,3007;4,6802;0,3606;0,3722;-3,6767
"plâtre";-0,3708;-0,8073;-0,2151;-0,0994;1,5917
"fourrure";0,2529;-0,3578;-0,1525;-0,2209;0,4242
"partie";-0,9631;0,9741;1,3685;-0,6906;-0,6559
"raffiné";-0,309;0,3557;-0,1793;-0,0829;0,3378
"gosse";0,241;0,5905;-0,2151;-0,0994;-0,3666
"partir";0,9457;-0,4205;0,7993;-0,3668;-0,6549
"humiliation";0,2638;-0,3379;-0,1463;-0,2154;0,3927
"nataliste";-0,6432;0,2648;-0,2899;-0,3314;0,6984
"médicament";-0,3325;0,6489;1,0592;-2,8256;-0,4319
"amoindrir";-0,2022;-0,2966;0,8695;0,3468;-0,4408
"égide";0,2752;-0,3184;-0,4542;0,4165;0,3622
"évoluer";0,7457;0,9876;1,4748;0,5381;-2,1787
"gmail";-0,206;-0,4485;2,6821;-0,0552;-0,5605
"identification";0,2573;0,6456;-1,0876;-0,3668;0,3167
"admnistration";-0,2678;-0,2003;-0,1554;-0,0718;0,5545
"javascript";-0,2472;-0,5382;-0,1434;-0,0663;1,0611
"déloyal";1,2587;0,3404;0,8023;-0,58;-1,0013
"job";-2,1639;-0,7557;-1,0941;-0,2704;2,6066
"bénévole";0,2965;-0,4229;1,4331;-0,3834;-0,4608
"précariser";-0,3708;0,5905;0,4082;2,8451;-1,4642
"conservatisme";1,0107;0,6891;0,3157;0,58;-1,6558
"tunisie";0,514;0,6891;-0,2868;-0,1326;-0,5646
"rph";-0,6591;-1,4352;-0,3824;-0,1768;2,8297
"dédoublement";-0,3285;2,0074;0,5592;-0,2099;-1,4446
"médaille";1,384;-0,946;-1,3744;0,7479;0,3522
"kafkaïenne";0,5394;-0,2189;-0,2749;-0,127;0,2378
"rentier";-1,0541;1,1862;-0,4184;-0,2487;-0,3054
"bourse";-1,0964;2,173;-0,7763;-0,7518;-0,4635
"copenhague";-0,5973;-0,3483;-0,3466;-0,1602;1,1133
"insurger";-0,3502;0,2945;-0,2032;-0,0939;0,4323
"autoritaire";-0,4043;0,586;-0,3063;0,2891;-0,3453
"utilité";-0,4022;-0,3748;0,3561;-0,3486;0,4315
"sous_entendre";-0,1809;-0,281;-0,3107;0,5504;0,3341
"coûteux";-0,6076;1,794;-0,8256;-0,5899;-0,5428
"motif";-0,4765;0,2915;-0,509;0,471;0,4316
"accabler";-0,6591;-0,4202;-0,3824;-0,1768;1,3044
"qualifier";-0,6794;-0,8687;-0,3359;0,5303;1,0329
"déforestations";-0,2472;0,4784;-0,1434;-0,0663;0,2114
"mutualisations";-0,3502;1,6874;-0,2032;-0,0939;-0,7203
"thon";1,0487;-0,4934;-0,1315;-0,0608;0,1741
"catégoriquement";0,391;-0,4934;0,583;-0,0608;0,1741
"préparer";-0,2818;-1,2658;-0,8496;-0,4689;1,572
"personnalisés";-0,5561;-0,3029;0,2804;-0,1491;0,619
"promo";-0,2884;-0,226;2,2355;0,7875;-1,0074
"epadh";-0,2396;2,0666;-0,3705;0,487;-1,3346
"métier";-0,3144;-0,3812;-0,6028;-0,666;0,6664
"supplémentaire";0,3396;1,0808;0,6926;-1,8986;-0,7315
"timbre";0,3734;0,7226;0,976;-0,5082;-0,9486
"habité";0,709;0,6601;0,2242;-0,1823;-0,8558
"pacsé";-0,4119;0,5054;-0,239;-0,1105;0,3162
"géographie";0,5836;0,2932;0,6496;0,5303;-0,8161
"contredire";-0,7984;1,1045;0,9112;0,2295;-0,8719
"camer";0,3412;-0,2281;1,2244;-0,1823;-0,5973
"tcc";-0,2266;-0,4934;-0,1315;-0,0608;0,9727
"musulman";-5,4561;-3,7445;-0,581;-1,0058;8,6051
"usage";-2,8235;-5,2193;-1,2449;-1,1648;9,3488
"recenser";-0,5121;0,5332;0,949;-0,3595;-0,487
"facial";-0,3154;-0,9583;-0,4422;-0,2044;1,6351
"sauvage";3,1886;-0,4923;0,5703;1,6177;-2,0556
"colza";2,4992;1,3814;0,4952;-0,0773;-3,7024
"georges";-0,5149;0,6458;0,3033;-0,1381;-0,3016
"bidonville";-0,4531;-0,1994;-0,2629;-0,1215;0,6962
"anglo_saxons";0,3377;-1,0451;0,3637;-0,2983;0,7039
"ingouvernables";-0,206;0,5907;-0,1195;-0,0552;-0,2406
"usagé";-0,7201;-0,9662;-0,3276;0,2499;1,4879
"morceau";0,8118;0,3412;-0,5378;-0,2486;-0,3452
"excédentaire";0,3264;-0,265;0,3545;-0,3038;0,2478
"ipso_facto";1,0487;-0,4934;0,583;-0,0608;-0,4811
"rare";-0,3816;-1,6184;-0,5538;0,6477;1,372
"échec";-1,2521;-0,5818;-0,6886;-1,481;2,0708
"injuste";-1,9272;0,3782;-0,2993;-0,8377;1,0801
"clinique";-0,2227;1,3977;1,9805;-0,2259;-2,0948
"receveur";0,4229;0,1911;0,6188;-0,0552;-0,5605
"complaisance";0,5057;-1,1383;-1,0298;-1,0937;1,5241
"extravagant";-0,1764;-0,4415;0,4733;0,368;0,2391
"essentiel";-2,8953;-1,9057;-2,3809;-1,2162;6,4789
"volume";-0,2613;0,331;0,3983;1,5991;-0,716
"mimétisme";-0,2266;-0,4934;0,583;-0,0608;0,4306
"humain";0,5464;17,9668;2,8988;7,2399;-23,4303
"chrétien";-1,0041;-1,0652;2,133;-0,5666;0,7064
"précéder";-0,5473;-0,3382;-0,2229;-0,8451;0,7842
"réaffirmer";-0,4864;0,3319;-1,0396;-0,8064;0,9107
"somptueux";-0,5149;2,0675;-0,2988;-0,1381;-0,7887
"problemes";-0,3738;-0,2887;1,0539;1,6053;-0,7758
"dévouement";0,6028;-0,3799;0,2272;-0,4032;0,2848
"journalière";-0,4377;1,9074;-0,1912;-0,2541;-0,8973
"kwh";-0,6105;5,2127;-0,3733;0,3919;-2,9647
"dragages";-0,309;-0,6728;-0,1793;-0,0829;1,3264
"diésel";-0,2201;0,8668;2,5702;0,6636;-2,296
"sasu";-0,2472;-0,5382;-0,1434;-0,0663;1,0611
"centre_ville";-0,2474;-0,925;-1,3625;-0,2389;1,5266
"militer";-1,5189;-0,884;-1,0587;0,2523;2,3888
"grossier";0,3614;-0,3841;-0,2322;-0,2872;0,441
"yellow";0,6949;-0,8073;-0,2151;-0,0994;0,4822
"mirage";-0,4737;-0,2189;-0,2749;-0,127;0,7529
"déconnection";0,2002;-0,1807;0,3576;-0,116;-0,253
"grenier";-0,2266;0,5307;0,583;-0,0608;-0,4811
"devenir";1,4817;-0,3773;1,1549;-2,3152;-0,6417
"prédation";-0,3959;-0,7146;-0,5139;0,9883;0,7669
"dela";-0,2734;-0,5714;0,6617;0,3563;0,312
"érosion";-0,7139;1,1514;1,0549;0,6256;-1,1945
"tutorat";-0,3686;-1,8389;-0,1588;-0,2265;1,9089
"recoupement";0,7948;0,78;1,3271;-0,1657;-1,8452
"communauté";7,5363;7,9636;1,8317;2,476;-19,2657
"doré";0,2681;2,3621;0,805;-0,2527;-2,2022
"obstruction";-0,3154;-0,9583;-0,4422;-0,2044;1,6351
"intensification";-0,2156;0,5001;-0,3466;0,5108;-0,3471
"succession";-8,4031;-16,8276;-5,7315;-2,192;33,9743
"plaquette";-0,5149;1,0361;-0,2988;2,4236;-1,1306
"addictions";-0,8651;-0,2189;-0,502;1,7943;0,3193
"electricité";-0,3705;0,751;-0,4022;1,852;-0,8429
"60km";2,7727;1,6186;-0,1434;0,8491;-4,5052
"delà";-0,8936;-2,2676;-0,57;-0,3242;2,8486
"évolution";-0,832;0,3303;-1,5793;0,7188;0,813
"numérisation";0,6597;-1,0269;-1,4116;-1,6405;1,5125
"consentant";-0,2884;-0,226;-0,1673;-0,0773;0,6187
"ongs";-0,2678;0,8918;-0,1554;-0,0718;-0,3573
"substance";-0,4437;-0,7605;-0,2675;0,8094;0,6379
"différentiée";0,4229;-0,4485;-0,1195;-0,0552;0,3713
"presents";0,2263;0,245;-0,2271;-0,1049;0,2792
"brûlant";0,7749;-0,2797;-0,1912;0,7349;-0,4699
"agitation";-0,3502;0,2945;-0,2032;0,7112;0,2109
"dispatcher";-0,206;0,1911;-0,1195;-0,0552;0,3713
"exploser";-0,48;0,4768;0,8137;-0,2502;-0,4687
"perturbateur";-0,3116;0,5483;-0,2803;-0,9224;0,3122
"cultuelles";0,3781;-0,7902;-0,8486;-0,3922;1,1268
"relai";-0,2971;-0,2942;0,3369;0,2876;0,2886
"nique";-0,206;-0,4485;0,6188;0,9229;-0,2406
"déclencher";-0,35;-1,5559;-0,2618;0,3694;1,2026
"agirc";-0,9445;0,2764;0,805;-0,5257;0,4464
"mixité";-2,8212;-0,4522;-2,1406;-1,2194;3,4826
"interministérielle";-0,309;-0,2525;-0,1793;-0,0829;0,6842
"couter";-0,2971;-0,2942;-0,6812;-0,3148;0,819
"admission";-0,3706;-0,407;-0,32;0,2542;0,6289
"machine";0,5251;2,2881;-0,6123;-0,4411;-1,4693
"lave_vaisselle";-0,2678;0,4325;-0,1554;-0,0718;0,2512
"6ème";1,1371;-0,3303;-0,3797;0,3872;-0,5213
"destiner";-0,3052;-0,3742;-0,481;0,6816;0,3812
"mépriser";-0,3426;10,7623;-0,8189;2,1796;-8,2644
"modulation";-0,709;-1,7794;0,3399;-0,5082;2,1249
"ème";-1,021;1,1471;1,3612;-0,3416;-0,8445
"historique";-0,9206;0,7271;-0,3046;-0,3061;0,3121
"chere";-0,1697;0,6458;-0,2988;0,5648;-0,5125
"sentir";-0,4326;-2,4086;1,4294;-0,4487;1,2388
"hidalgo";-1,9362;-4,2159;-1,1234;-0,5192;8,3122
"commercialisés";-0,2266;0,5307;-0,1315;-0,0608;0,1741
"qualitativement";0,241;-0,8073;-0,2151;-0,0994;0,8871
"discrètement";1,4511;1,1898;-0,1912;-0,0884;-1,7614
"mixite";-0,4119;-0,3951;0,3734;-0,1105;0,5865
"restriction";0,5092;-0,2768;-0,433;-0,8768;0,3964
"boire";4,2591;-0,6417;1,0839;-0,6131;-1,7847
"aménité";0,2932;-0,6728;-0,1793;-0,0829;0,6842
"inchangé";-0,1849;0,5571;-0,1846;-0,2486;-0,3452
"crânien";-0,4119;14,2101;-0,239;-0,1105;-9,6813
"désormais";-0,8618;-2,2972;-0,2855;-1,7629;3,3011
"pmes";-0,3914;-0,8522;-0,2271;-0,1049;1,6801
"recours";-2,4991;0,4254;-1,7846;-0,4134;1,8427
"rbtt";-0,2266;-0,4934;-0,1315;-0,0608;0,9727
"décent";1,2728;-0,4797;-0,4772;0,5298;-0,4903
"réussi";-0,2594;-0,3899;-0,4248;-0,3924;0,6333
"glissant";0,2743;-0,7176;0,4484;-0,0884;0,3841
"derniere";0,2002;-0,4254;-0,251;1,5436;-0,253
"sucrerie";0,8692;0,3918;-0,1673;-0,0773;-0,6042
"represente";-0,9681;-0,5082;0,4366;-0,2596;0,9471
"petrole";-0,1375;-0,4561;-0,2629;0,6125;0,3954
"désendetter";0,3625;-0,5382;-0,1434;0,8491;0,2114
"accessoire";-1,277;-0,3732;1,0557;-0,3425;0,5659
"dsn";-0,6797;-0,445;-0,3944;-0,1823;1,3694
"exaction";0,2529;0,2509;0,5285;-0,2209;-0,3359
"dédommagement";0,2997;2,7198;0,2016;-0,1988;-2,0324
"mobylette";-0,3502;1,1071;0,4276;-0,0939;-0,7203
"droite";0,3703;0,6592;0,4925;0,6876;-0,9732
"maternel";-0,2626;-0,5987;0,481;-0,8818;0,5947
"assouplissement";-0,2386;-0,2109;-0,6095;-0,2817;0,5958
"valoir";0,3011;-0,3762;0,3285;-0,2591;0,3313
"assurer";-2,877;-5,3724;-3,3608;-2,4614;12,659
"porcin";-0,206;0,5907;1,5424;-0,0552;-1,0234
"quatar";-0,2266;-0,4934;-0,1315;-0,0608;0,9727
"jacobinisme";0,4265;2,3559;0,7552;-0,1547;-2,6133
"efficacite";0,5598;-1,0646;0,3109;0,6249;0,3765
"engagement";-0,5036;-2,5427;-1,8645;-0,609;3,7319
"xxième";0,305;-1,14;-0,2679;0,2876;0,819
"illisible";-2,5998;-2,2665;-3,0118;-0,2178;6,1364
"legs";-0,309;-0,6728;-0,1793;-0,0829;1,3264
"17h";-0,1697;-0,2597;-0,2988;-0,1381;0,5256
"moralité";-0,293;2,4688;-0,1907;0,5868;-1,9285
"elec";0,6949;1,5818;-0,2151;-0,0994;-1,4642
"dégueulasse";1,1227;-0,4485;-0,1195;-0,0552;-0,2406
"recto";0,8692;0,8183;0,4952;-0,0773;-1,518
"independant";-0,309;-0,2525;2,1473;-0,0829;-0,5325
"sapeur";1,907;-0,1516;0,583;-0,0608;-1,4366
"approfondi";0,706;-0,9391;-0,973;-0,3239;0,8847
"éternel";-0,5937;0,7247;-0,992;-0,4585;0,5027
"censitaire";0,7648;-0,3958;-0,3705;-0,1712;0,3179
"traumatisant";0,7749;0,3234;-0,1912;-0,0884;-0,4699
"efficacité";-4,922;-10,0292;-4,3321;-0,969;19,6908
"affirmation";-1,0573;-0,6035;0,3827;-0,1526;0,9575
"redéfinition";-0,4377;-1,2846;0,4484;-0,2541;1,2459
"criteres";-0,7003;-0,8529;-0,4063;0,4546;1,435
"cops";0,3625;0,9743;-0,1434;-0,0663;-0,7818
"impunément";-0,6797;-0,8182;0,2242;-0,1823;1,3694
"dessiner";-0,2201;-1,0787;0,2503;-0,3811;1,0433
"lpo";-0,3914;1,4848;-0,2271;-0,1049;-0,5788
"relever";-0,9603;-2,2488;0,315;-1,3386;3,0291
"réparer";0,9069;-0,5287;-0,6641;0,9313;-0,3681
"réversible";0,3371;-0,5831;-0,1554;-0,0718;0,5545
"conflictuel";-0,5561;-0,3029;0,2804;-0,1491;0,619
"presentation";-0,5149;-0,5507;0,8332;-0,1381;0,5256
"accroitre";-1,029;-1,3789;-0,5134;0,4272;2,0052
"dégoûter";0,2426;-0,2046;0,5139;0,3911;-0,4708
"menu";-0,7446;-1,1183;-0,2038;-0,8175;1,8142
"theme";-0,3296;0,693;-0,1912;0,7349;-0,4699
"semblant";-0,5114;0,6131;0,3553;-0,2755;-0,3496
"population";0,4365;-0,8055;1,4758;1,4217;-0,6308
"néo";2,7564;1,036;-0,8605;-0,3977;-1,7522
"sida";-0,3502;-0,7625;-0,2032;-0,0939;1,5033
"bénéficiaire";0,3499;-0,8819;1,0754;0,8419;-0,3515
"invraisemblable";-0,862;-1,7059;0,8479;0,2148;1,2564
"jupe";1,3816;-0,3077;-0,2032;-0,0939;-0,4149
"déontologie";-0,8295;0,3926;0,2849;-0,1975;0,4001
"précarisation";-0,8033;0,2671;1,0514;-0,2154;0,245
"motion";-0,7003;-1,5249;0,2163;-0,1878;2,0681
"cabine";0,9231;-0,5831;-0,1554;-0,0718;0,2512
"à_fortiori";-0,3502;-0,7625;-0,2032;-0,0939;1,5033
"homéopathique";1,1493;-0,1807;-0,251;-0,116;-0,4659
"agroalimentaire";0,8273;0,6823;0,4415;0,7713;-1,5032
"bleu";1,5204;0,7432;-0,6962;-0,6021;-0,8596
"leasing";0,3141;-0,6279;-0,1673;-0,0773;0,6187
"guerre";-0,7011;0,6113;-1,1814;1,2136;0,3203
"bled";0,9231;-0,5831;-0,1554;-0,0718;0,2512
"afflux";-0,3815;0,5164;-0,3276;0,2499;-0,262
"faim";0,5923;1,1186;0,7338;0,3872;-1,7847
"best";-0,3914;-0,3654;-0,2271;-0,1049;0,9566
"secrétariat";-0,589;0,8046;-0,2913;-0,7346;0,293
"défiscalisés";0,3896;-0,7157;0,2503;-0,1657;0,4826
"instrumentalisé";-0,2472;-0,5382;-0,1434;2,0137;0,2114
"notament";1,0487;-0,4934;0,583;0,8842;-0,8929
